 Dan Sullivan
 Lisa Murkowski
 Tommy Tuberville
 Richard Shelby
 John Boozman
 Tom Cotton
 Kyrsten Sinema
 Mark Kelly
 Dianne Feinstein
 Alex Padilla
 John Hickenlooper
 Michael Bennet
 Chris Murphy
 Dick Blumenthal
 Chris Coons
 Tom Carper
 Rick Scott
 Marco Rubio
 Jon Ossoff
 Raphael Warnock
 Brian Schatz
 Mazie Hirono
 Chuck Grassley
 Joni Ernst
 Jim Risch
 Mike Crapo
 Dick Durbin
 Tammy Duckworth
 Mike Braun
 Todd Young
 Jerry Moran
 Roger Marshall
 Mitch McConnell
 Rand Paul
 Bill Cassidy
 John Kennedy
 Ed Markey
 Elizabeth Warren
 Ben Cardin
 Chris Van Hollen
 Angus King
 Susan Collins
 Debbie Stabenow
 Gary Peters
 Tina Smith
 Amy Klobuchar
 Josh Hawley
 Roy Blunt
 Roger Wicker
 Cindy Hyde-Smith
 Jon Tester
 Steve Daines
 Richard Burr
 Thom Tillis
 Kevin Cramer
 John Hoeven
 Ben Sasse
 Deb Fischer
 Jeanne Shaheen
 Maggie Hassan
 Cory Booker
 Robert Menendez
 Martin Heinrich
 Ben Luján
 Catherine Cortez-Masto
 Jacky Rosen
 Chuck Schumer
 Kirsten Gillibrand
 Rob Portman
 Sherrod Brown
 Jim Inhofe
 James Lankford
 Jeff Merkley
 Ron Wyden
 Pat Toomey
 Bob Casey
 Jack Reed
 Sheldon Whitehouse
 Lindsey Graham
 Tim Scott
 John Thune
 Mike Rounds
 Marsha Blackburn
 Bill Hagerty
 John Cornyn
 Ted Cruz
 Mike Lee
 Mitt Romney
 Mark Warner
 Tim Kaine
 Bernie Sanders
 Patrick Leahy
 Maria Cantwell
 Patty Murray
 Ron Johnson
 Tammy Baldwin
 Joe Manchin
 Shelley Capito
 John Barrasso
 Cynthia Lummis
